100000 100000
S 24513 9249
S 27369 23718
S 17651 13291
S 12760 3170
A 5304 22641
H 24200 29106
A 8682 18662
H 8754 24034
S 15988 7043
H 20084 11421
S 32719 12245
H 7230 20653
H 4770 30471
S 21048 1595
A 3277 24327
S 6541 7680
A 24711 32589
H 17946 29222
H 20184 23590
H 4979 24780
S 13263 20136
A 27197 29034
A 12936 19780
A 14791 24963
H 11002 19106
S 24568 2670
S 32672 1458
A 3546 13598
S 8839 14845
H 8564 21029
H 28802 14724
A 7605 31602
S 11198 23693
H 20364 29302
H 7722 3566
S 23446 18611
A 15023 16742
S 29152 23016
H 3394 8739
H 19883 1609
H 3823 32708
S 1339 145
A 23155 31340
S 4624 22226
H 21725 31982
S 29734 28224
A 18847 29131
A 18806 29446
S 5751 20490
S 21964 28136
A 21631 32210
S 1909 26738
H 31921 27373
A 3856 6735
H 31057 27607
A 7076 28383
S 6742 30433
A 12280 12780
A 20668 30837
S 24119 12738
S 32120 20578
S 14092 20557
A 16061 21902
A 2137 3433
A 5908 14876
A 8720 28075
A 20477 30042
H 8330 16291
H 23073 3592
A 15788 31491
S 14894 3054
H 10682 25904
S 24177 18480
A 6140 32469
A 21084 23640
S 27622 29994
S 15723 23839
S 12582 24400
H 11892 1024
S 24835 14244
S 2703 8708
S 25142 10688
S 15892 24638
S 11401 22817
A 8936 13163
S 19411 19878
A 26261 27190
S 13875 2664
S 32196 22567
H 6039 18589
S 28246 9468
S 26868 13190
S 13064 21548
S 29618 9100
S 17227 31204
S 21052 1571
S 9459 25968
H 9406 11532
H 26820 7976
H 7532 31496
S 30592 26804
A 7451 18916
S 6273 25792
A 1776 10134
S 23570 18301
H 12079 3586
H 25334 894
A 4751 10104
S 10723 24272
S 18991 30339
S 23259 19048
H 9659 480
S 32684 18991
S 15569 4423
A 6136 18009
H 16743 22195
A 20179 23189
S 31358 23942
S 7470 16346
A 14965 31914
S 20062 25386
H 27505 9463
S 28103 11070
H 3530 31553
H 19150 3731
S 10845 13050
S 24066 26364
H 28774 18471
S 6748 7512
H 14399 10499
S 27353 25680
H 13044 14523
A 1564 25835
H 17023 7241
S 9493 5652
A 15478 27617
H 19179 5221
S 22349 26799
H 31636 16858
A 1663 18903
H 19421 19771
S 9274 25842
A 3918 28889
S 1893 13699
H 11750 66
A 6933 25620
A 2004 29131
S 18632 14590
H 18631 19173
H 6408 12296
S 29682 18491
S 26178 31072
S 6460 20644
S 27634 27038
A 20275 22631
A 28783 32204
H 8291 19663
S 20998 31152
S 8891 16718
S 28704 5567
A 22660 23662
S 20387 32652
H 19602 16841
S 1498 27284
H 18059 8422
H 30582 26788
H 4288 28000
S 24980 2139
S 531 2462
S 206 7541
S 24460 11623
A 3761 27099
S 10482 30615
H 18494 28597
H 7747 10539
H 20539 21477
H 24918 16372
H 5753 13759
S 32256 29066
S 2402 3035
H 10394 30549
H 18793 16194
S 30138 17104
A 13695 28212
H 32628 7499
A 3880 15249
S 11150 30932
H 30876 25599
S 25437 24600
S 1444 1732
H 22862 4435
A 10817 23968
A 16705 29867
H 30309 28224
A 22668 30793
S 32470 13931
S 19815 16091
S 23744 1605
A 7196 16475
S 5159 17590
H 27810 17890
S 41 3819
H 17976 27
A 2504 30067
S 6841 12571
H 25396 28642
A 17652 21110
A 20084 21086
A 18687 31251
H 11382 28129
S 24278 30863
S 3566 3873
S 30886 14429
S 20890 6479
A 21266 24926
H 5046 20779
S 13856 2521
S 24774 25135
H 22676 13337
S 21002 2738
S 5975 7591
H 1072 32081
S 32146 17283
S 18719 13574
S 13038 4999
S 7163 1718
A 19540 28048
S 19104 30232
S 840 25859
S 2646 3395
A 14273 19646
H 21863 32073
H 2481 11239
A 3543 29609
S 23278 6126
S 1402 9079
A 20170 20737
H 17940 21139
S 31427 10664
H 21576 6725
A 7962 27701
H 16003 18449
A 685 24017
S 9508 13994
A 2945 30260
S 7059 24644
H 10678 120
H 23042 8892
H 1624 6916
H 17930 842
S 17616 12537
H 27760 701
H 5094 24242
S 12449 5228
A 10325 16225
H 18134 22886
S 12171 6863
S 5085 11910
H 6924 27086
S 23025 14194
S 9413 15766
H 15408 10678
A 705 14791
S 10892 622
A 25191 27735
S 17999 22087
S 15622 30425
A 21377 24255
H 18109 12928
A 6367 26069
S 2439 12601
S 14319 2291
A 2557 16340
S 4633 21479
S 13788 7240
H 25021 10828
H 1989 7442
A 13643 19003
S 30105 13947
H 18510 29834
S 19762 6534
A 14805 26386
S 18843 17261
H 31621 4344
H 1188 114
H 4592 5935
S 657 29762
S 28412 11960
H 18739 13371
S 5508 8008
A 10952 23102
A 15442 24959
A 17014 30413
H 21061 7094
H 25403 32677
S 7374 6267
H 15276 21529
S 10762 5470
S 32730 17108
A 2452 17954
A 13520 22571
H 23408 22495
S 28441 20384
H 21410 28608
S 4361 5472
H 20655 29948
S 14524 21230
A 6767 17888
H 26633 7471
S 20667 8523
A 8161 17554
S 27092 1260
A 4630 31688
S 28318 22046
H 13389 25453
H 30467 11834
H 26920 25632
S 21268 25777
A 16321 24315
H 24008 16470
S 9723 19843
S 15464 26261
S 13794 28631
S 23044 31377
S 16627 17118
S 20621 14172
A 8965 19155
H 14694 30665
H 13001 12213
S 7552 25477
H 10944 17878
A 362 11386
H 11435 15145
H 25564 14505
S 23889 20309
H 1431 5124
H 4075 4347
S 1982 25319
S 16293 17592
S 27124 6462
A 27331 31462
A 17292 17370
S 14180 24118
S 19915 1596
S 5937 21868
S 31454 27910
H 17982 11504
H 6817 1884
H 5386 28403
S 17158 28682
H 8311 1867
A 3478 13172
S 32765 6239
H 2048 26116
A 27312 32658
S 54 7172
A 22531 22741
H 24321 25791
H 10999 16587
S 4490 19632
S 8389 26611
S 26920 18260
S 14610 28120
H 22717 6301
A 11459 16854
S 24594 30807
S 14855 24273
H 12295 12055
S 147 4230
H 10429 10560
S 29422 22689
H 12034 26686
H 25330 32262
H 2209 8983
H 32507 6879
H 1898 7888
S 14470 30784
S 22796 7267
S 13510 24558
S 26135 32054
S 12259 2594
S 21694 16467
H 18141 11095
S 5175 2513
A 2696 9552
S 23493 21293
S 27531 614
A 21711 32390
S 5810 28787
S 18841 8183
H 6121 27394
A 14215 14963
S 26808 13195
S 14714 7012
S 6694 19665
S 28996 17763
A 26947 29910
S 21769 26625
S 7955 4236
S 14634 28241
H 15128 27578
S 2341 10143
S 28401 6559
H 3155 10936
S 5832 21296
S 15624 17923
S 28030 30212
S 11755 26881
H 3294 21322
A 10444 26529
S 10556 24672
H 7453 9376
S 13641 8935
S 7987 28835
S 1540 28766
A 7263 10313
H 30732 23988
H 32558 14249
H 20171 5451
A 7302 13294
A 19045 23333
S 76 31005
H 15027 14067
S 19802 19624
S 442 3381
A 3660 7919
H 12629 6330
A 8614 28855
H 18570 667
H 27578 27838
S 23116 23293
S 2873 29449
S 11154 15949
A 4509 25198
S 17412 13994
H 26782 3203
S 24829 27257
S 8966 18024
H 11716 20254
S 23685 29479
S 21841 834
A 10969 26901
A 13886 16634
S 18282 18033
H 29911 10873
A 12307 23902
S 17861 32472
S 7138 8344
H 28234 3996
H 7604 28943
S 7880 31035
S 24594 531
H 23235 10259
S 5907 5192
S 6189 30228
S 26485 5225
A 13225 30436
A 3583 8868
S 22006 11147
A 16590 20541
S 22851 18760
H 28957 32678
S 28043 6301
S 5226 21144
A 21017 26616
S 21007 28369
S 30336 699
S 28314 28024
S 24619 18458
A 8340 21087
A 7847 27044
S 12912 16281
H 26359 26848
H 991 3874
S 3414 3455
A 12473 24451
S 4642 5647
S 28214 16825
S 8696 25404
A 7994 26068
A 4641 25080
S 18126 12535
H 23001 4908
S 27693 25294
S 7718 20404
S 17894 10640
S 26926 24029
H 10749 2851
A 10655 26445
S 24354 12037
S 21347 827
H 3905 10239
H 26887 16406
A 11729 22057
H 3752 2020
A 5718 18167
S 17094 3188
S 22913 6868
A 29898 32445
S 3329 24943
S 1769 29769
S 16297 11263
S 21245 27919
S 21220 17585
H 10985 10460
S 17015 5696
S 5033 13852
S 26815 8364
H 1220 24291
S 21684 31919
A 3587 27253
H 26249 12138
A 425 23169
S 28149 31994
A 27670 29272
A 1015 20878
S 485 2944
A 1294 26812
A 1991 6799
A 8494 14891
H 1550 13775
S 20174 24070
S 26866 16834
S 19912 13253
H 6509 25150
A 6232 12246
S 10107 19272
H 6422 15259
H 9648 4983
S 24123 17724
S 18707 10190
H 30346 12352
S 7119 31551
A 10592 11837
S 4511 25814
H 25881 27845
S 7742 11246
H 4950 21706
S 19786 9228
S 17205 28357
S 6228 556
S 14287 19469
A 8980 21412
A 10759 13491
H 28411 17133
A 11951 27297
S 20123 12530
H 25837 18278
H 13977 10671
A 1752 32653
A 19752 29002
S 16694 15073
S 6717 25329
S 32126 11839
A 11545 18940
H 12827 12903
H 24589 12022
A 14109 29778
S 21980 26948
S 1281 13246
S 14063 10427
S 10678 29092
S 13786 23232
S 8685 21955
H 14710 27957
S 15946 13466
S 21861 16498
S 5191 5678
S 21006 7887
A 13144 18676
H 10131 28488
H 22483 25254
S 27755 290
A 12009 25216
S 941 27800
A 8455 9708
S 8238 10486
A 29614 30793
S 18683 12984
H 16130 17138
S 16601 31865
A 8969 11858
S 21969 31709
S 27733 12438
A 32500 32702
H 28584 29257
A 7641 12088
S 13811 5821
S 1664 10616
A 2775 18678
S 27554 19534
H 2287 25625
S 18076 15350
S 26985 30625
A 6505 28823
H 18914 463
H 20085 24161
S 26054 19398
S 19751 21338
S 4007 4932
A 27506 29237
H 6600 28291
A 986 21448
A 593 18726
A 24829 29856
S 17343 14429
A 30038 30743
S 6768 5054
A 24147 28506
S 13925 19855
H 12240 26207
S 15493 16500
H 31037 23062
S 15619 25014
S 15713 27897
S 27842 20131
A 7916 9035
A 3524 20667
S 32737 22038
S 5894 1950
H 10845 22778
A 14591 26201
A 17119 28326
H 10007 9730
S 14542 226
S 11981 717
H 15385 28748
S 27937 6205
S 7524 26365
S 16041 251
S 23484 21767
S 2671 10846
S 9089 23257
S 8267 5858
H 14200 12675
H 25192 8991
S 30859 10997
S 28291 3968
S 8235 28247
H 19403 8240
S 19096 30907
S 10351 4587
H 17777 25823
H 32302 15813
H 3165 7358
H 6039 24313
S 16562 28181
S 30644 21857
H 2648 5940
S 9291 17453
H 32619 21420
S 22285 24548
H 15676 18614
S 13372 28643
S 6337 32622
S 26035 18130
H 1437 28470
A 4799 28505
S 23106 1239
S 20066 12517
A 9024 15580
S 1772 31314
A 6141 24817
A 5590 15320
S 18260 20852
H 23284 4365
S 3013 3185
H 23502 9575
S 5060 27715
S 6596 28523
S 20417 15378
H 566 19892
S 13311 20968
H 13788 27225
S 16440 27442
S 26805 27835
H 31442 8873
H 19975 19177
S 20634 3242
S 18019 31016
H 19253 847
H 25525 6967
A 8145 32241
S 15297 11877
S 1206 2019
A 13466 31642
A 6260 22472
S 20218 2017
S 14625 17065
S 1158 31503
H 9276 32047
S 29790 6047
S 6004 13153
S 8327 29154
A 19650 30351
S 24347 1026
H 14337 4796
A 5533 11324
H 15897 3211
H 5693 14551
A 13796 13853
H 8316 10037
H 3761 9985
S 2535 6051
A 1937 16807
A 10791 21618
A 19067 23117
A 9426 13102
S 6451 19983
S 5194 27039
H 4594 14896
A 5639 25168
S 4346 16884
H 24697 30834
A 20190 22633
S 20184 13818
S 6754 10680
S 10601 8253
S 19862 2152
S 28964 7814
S 29555 31477
S 11212 25430
H 15967 19532
S 10699 19523
H 27588 15258
H 4465 13763
S 30947 31066
A 5947 13166
S 27298 8043
H 23195 12585
H 32716 32201
S 32107 31303
A 7612 8834
H 416 6646
H 6355 23449
S 13080 27989
S 7593 31598
A 8653 13510
H 659 14123
H 7998 11000
A 1321 4121
S 16985 4913
S 23954 19486
S 10200 11568
S 6845 30170
A 4880 21109
S 5260 25707
S 24076 28027
S 27608 17775
A 20129 24547
S 20482 11715
S 24169 13339
S 26794 23505
S 1698 18218
H 16642 2344
S 32098 680
S 19556 25634
H 931 10253
S 20280 12489
H 31755 26073
H 26702 15416
A 4232 17481
H 30261 20515
S 16658 14991
S 28982 15448
S 24619 16071
S 24062 27220
A 12834 20991
H 1564 21303
S 26929 30722
A 10946 31448
S 2223 8687
A 12845 23578
A 13241 21548
A 16465 31724
S 16654 27169
S 15256 1467
H 22513 29657
S 13202 143
H 31507 32703
A 15024 30271
S 8251 13476
S 26851 19196
A 11521 26102
A 24799 27893
S 6785 30246
A 14463 28344
H 16860 8872
S 8173 22833
S 17684 16089
S 13977 18517
A 40 31284
S 19998 29147
H 23676 918
A 6031 15021
S 21736 32390
H 3481 12074
H 787 8382
A 523 18346
H 16086 15714
S 19736 30884
A 16097 20649
A 522 14753
H 21983 6637
A 17237 19920
A 19279 27066
A 26387 31497
S 10977 7548
S 23203 7246
S 28565 31540
H 2258 2371
S 31655 19360
A 7299 23392
H 30511 29592
H 22034 1676
S 30500 17776
A 14377 31257
H 20704 5087
H 9516 23543
A 3567 18457
A 8438 19199
S 18365 1086
H 18909 20341
H 2815 21155
S 19753 3339
S 12526 30631
S 23180 3080
S 28839 32518
S 14146 5992
H 21840 24309
H 23763 19474
A 21971 23148
H 22709 6509
S 4430 31067
A 11772 14664
S 16260 18632
H 2515 10967
A 18171 28169
A 656 3851
S 12937 16279
S 29428 10314
S 32372 23328
H 23462 2174
S 31103 25588
S 31464 6154
S 20596 1496
S 2407 27371
H 23306 22497
S 24224 4853
H 30520 6127
A 21466 31586
H 15445 17108
H 24088 28100
S 8597 5716
H 22493 14754
H 27591 24960
H 10887 7810
H 25687 32020
H 22314 2436
S 4102 10469
H 457 6732
H 26075 11396
S 31275 13317
S 30512 18586
S 8972 10058
A 5039 8175
A 17296 26659
S 16984 6232
S 2233 24301
A 17409 21481
S 32703 22859
S 10558 15562
S 5029 23657
S 3333 23093
A 11321 26468
H 21075 3988
A 4984 21365
H 19715 26747
A 10426 26256
H 31468 5793
S 22620 2881
S 16129 19949
S 9080 32092
H 27588 5809
S 14826 31160
S 3221 10036
S 25457 24148
H 30135 3361
H 16209 31479
A 12590 17525
H 9695 4091
A 7420 29373
S 21703 24845
S 26540 20610
S 6638 8187
S 1828 15170
S 14900 22515
S 3645 5437
H 10379 31677
H 7953 9847
S 5916 22989
S 7289 2383
H 20334 3916
H 25657 30063
S 24525 12130
S 1985 4873
S 23397 18027
A 10203 18776
S 30666 14553
H 12756 11418
S 3555 19444
S 32000 28423
S 15734 31414
S 15794 21874
H 31176 9075
A 31623 32502
S 27396 11027
S 26292 31989
S 9073 30978
A 9 12255
S 30877 15138
S 13804 21091
S 12290 17254
H 7300 12323
S 27603 6370
H 12730 9735
S 12275 5227
H 28135 22973
S 16454 9504
S 25519 18334
S 20696 13180
H 23145 17660
H 21908 6577
H 20646 3593
H 629 24197
S 15536 15836
S 3717 23533
H 16159 29750
S 23297 19725
S 24527 16407
A 3446 30575
A 26589 30539
H 18105 20878
H 2943 17005
S 14853 15626
S 27843 8725
S 20136 13591
S 7329 23856
S 31742 16910
A 12780 29103
A 693 10533
S 26100 6162
S 22406 15291
H 29960 32629
S 21229 27581
H 21779 27441
H 22149 29445
S 16126 7211
A 25617 31181
S 6065 16227
H 27480 19594
A 3006 18537
S 11106 27588
S 15639 31166
H 14519 8400
S 17509 13897
S 23979 22639
S 4060 24170
S 27363 24770
S 26519 16468
H 32144 23062
S 9191 22187
S 3604 17005
S 31769 424
S 5397 4567
S 21666 26153
S 3618 29174
A 10669 31598
H 26225 17729
H 12159 23426
H 19313 735
H 5170 29563
H 8212 29236
A 1712 2065
H 28961 7546
H 21755 30788
S 24566 29943
A 2816 10274
H 30838 9389
H 11887 13831
S 4641 7322
S 29882 31627
S 1412 20455
A 2358 21985
A 18830 30337
H 21458 32406
H 2335 30050
A 28593 31271
S 23018 29314
H 16118 4978
H 21506 154
A 3577 6563
H 20073 11135
S 25051 9194
S 1853 20748
S 8062 6345
H 28367 2886
S 2719 9108
H 3555 32051
S 13800 32021
S 31099 2793
S 26183 19030
S 3060 13759
A 1136 22400
H 20071 15272
S 17781 13878
S 28296 17687
S 8253 15719
S 7286 28429
H 25961 102
S 2365 26386
S 17158 2738
S 18939 11594
A 4494 31034
H 27874 29936
S 30097 20382
H 25740 5585
S 28500 16732
S 25443 8607
H 28288 26041
H 9224 1589
H 12084 3401
H 15607 16939
H 20921 18367
H 19686 9024
S 19299 29357
H 23176 24197
A 7620 9989
S 32191 8276
H 25520 14342
A 1655 8546
H 14059 5795
A 13342 24838
S 13233 12676
S 17439 9959
A 15014 27086
A 5254 20728
A 2427 19671
S 3282 23371
S 1349 9078
A 3574 16836
S 8352 28732
S 5234 30572
H 25530 17732
S 20343 16468
S 7529 30917
S 5000 17758
S 582 13624
S 7132 15750
S 9300 25576
A 13246 14364
S 202 6425
A 7390 20736
S 18896 28746
H 11484 28718
A 11325 28753
H 27741 18256
H 22071 16844
S 15757 10766
S 2981 1459
H 8125 6009
S 6668 21718
S 17591 31100
A 2991 13871
S 14001 18065
H 20085 19683
S 20107 9869
S 23827 16437
H 11593 24989
S 15866 27213
S 7447 19660
H 5772 21257
S 32058 10667
H 12671 13146
S 31149 5875
H 7044 9430
S 6764 20017
H 23935 7302
H 32656 3816
H 30583 10140
A 14025 20901
H 19338 15377
S 19425 15865
S 2696 18526
S 22852 29789
A 21707 31745
H 16072 6491
A 14820 19980
A 5159 16808
S 15375 17439
H 14821 30433
H 27223 22958
H 26272 6956
A 8030 27626
S 2040 1528
A 8491 29649
H 5518 24193
S 12619 3149
H 22991 2283
S 26440 21302
A 270 1928
A 8432 21034
A 1136 19027
S 19081 18617
H 28718 15908
S 13246 22167
S 27783 2783
S 6492 31871
S 22196 13144
H 14772 23593
S 19218 25413
